"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","add_businessman","0","0","Добавление нового ИП в разделе 'клиенты'","0"
"0","","0","add_merchandise","1","0","Добавление нового товара в разделе 'товара, услуги'","0"
"0","","1","add_legal_entity","0","0","Добавление нового юридического лица в разделе 'клиенты'","0"
"0","","1","add_person","0","0","Добавление нового физического лица в разделе 'клиенты'","0"
